No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Area,Category,Business Category,Product Category,Source,URL_Keyword,Unknown,Remaining_Url_Keywords,Priority Rank
7117,purnabramha maharashtrian restaurant hsr,8100,23,21.0,$0.14,3,22,https://lbb.in/places/Purnabramha-hsr-03092c/,,,,,,,,,,lbb.in,purnabramha hsr,,places 03092c,1
7118,pub in goa,8100,45,17.0,$0.06,12,24,https://lbb.in/goa/10-best-pubs-in-goa/,,Goa,India,West,,,,,,lbb.in,,,10 best pubs,1
7119,places to visit in navi mumbai,8100,21,34.0,$0.08,2,23,https://lbb.in/mumbai/places-to-visit-navi-mumbai/,Navi Mumbai,,,,Navi Mumbai,,Attraction,Tourism & Attractions,Attractions,lbb.in,,,,1
7120,places in madikeri to visit,8100,31,17.0,$0.14,6,11,https://lbb.in/bangalore/madikeri-coorg/,Bengaluru,,,,Bengaluru,,,,,lbb.in,madikeri,,bangalore coorg,1
7121,pind restaurant,8100,26,21.0,$0.05,7,21,https://lbb.in/chennai/pind-43d234/,Chennai,,,,Chennai,,,,,lbb.in,pind,,43d234,1
7122,pilates studio,9900,13,159.0,$0.25,1,16,https://lbb.in/bangalore/pilates-studios-bangalore/,Bengaluru,,,,Bengaluru,,,,,lbb.in,pilates,,bangalore studios bangalore,1
7123,parks dogs,8100,16,121.0,$0.17,3,19,https://lbb.in/kolkata/dog-friendly-parks-south-kolkata/,Kolkata,,,,Kolkata,,,,,lbb.in,parks,,dog friendly,1
7124,park for dog,8100,17,121.0,$0.17,3,11,https://lbb.in/mumbai/pet-parks/,Mumbai,,,,Mumbai,,,,,lbb.in,,,pet parks,1
7125,old original vinayaka mylari,6600,29,18.0,$0.26,6,24,https://lbb.in/bangalore/mylari-dosa-at-original-hotel-vinayaka-mylari-mysore/,Bengaluru,,,,Bengaluru,,Hotel,Accommodation,Accommodation,lbb.in,original vinayaka mylari,,bangalore dosa at mylari mysore,1
7126,drive thru,8100,25,21.0,$0.07,1,32,https://lbb.in/delhi/mcdonalds-drivethru-12797f/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,mcdonalds drivethru 12797f,1
7127,dogs at dog park,8100,24,34.0,$0.20,2,44,https://lbb.in/mumbai/pet-parks/,Mumbai,,,,Mumbai,,,,,lbb.in,,,pet parks,1
7128,di ghent cafe,8100,8,207.0,$0.11,2,27,https://lbb.in/delhi/visit-di-ghent-cafe-for-great-food-and-delicious-coffee/,Delhi,Delhi,India,North,Delhi,,Restaurant,Food & Dining,Food & Dining,lbb.in,di ghent,,visit great delicious coffee,1
7129,cosmetic store,14800,11,273.0,$0.43,4,24,https://lbb.in/hyderabad/best-cosmetics-stores/,Hyderabad,,,,Hyderabad,,,,,lbb.in,,,best cosmetics stores,1
7130,colaba cafes,8100,20,41.0,$0.04,3,23,https://lbb.in/mumbai/post/food-and-restaurants?locality=colaba-mumbai,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,lbb.in,,,post,1
7131,coffee shops in thane,8100,16,91.0,$0.03,1,23,https://lbb.in/mumbai/coffee-shops-thane/,Mumbai,,,,Mumbai,,,,,lbb.in,coffee shops thane,,,1
7132,coba restaurant,6600,28,17.0,$0.13,2,22,https://lbb.in/places/Coba-Restaurant-2f8880/,,,,,,,Restaurant,Food & Dining,Food & Dining,lbb.in,coba,,places 2f8880,1
7133,chitrakala bangalore,8100,34,17.0,$0.06,1,33,https://lbb.in/bangalore/karnataka-chitrakala-parishath-bangalore/,Bengaluru,Karnataka,India,South,Bengaluru,,,,,lbb.in,chitrakala bangalore,,parishath bangalore,1
7134,calisthenics gym near me,8100,11,207.0,$0.09,15,16,https://lbb.in/pune/muscle-bar-calisthenics/,Pune,,,,Pune,,Restaurant,Food & Dining,Food & Dining,lbb.in,calisthenics,,muscle,1
7135,café lakeside,8100,21,41.0,$0.18,1,21,https://lbb.in/delhi/head-to-this-lovely-cafe-be629c/,Delhi,Delhi,India,North,Delhi,,Restaurant,Food & Dining,Food & Dining,lbb.in,,,head to this lovely be629c,1
7136,cafeteria in hyderabad,8100,23,34.0,$0.03,4,21,https://lbb.in/hyderabad/best-cafes-hyderabad/,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,lbb.in,,,best,1
7137,cafes in colaba,8100,19,41.0,$0.04,3,27,https://lbb.in/mumbai/post/food-and-restaurants?locality=colaba-mumbai,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,lbb.in,,,post,1
7138,cafe military mumbai,8100,6,533.0,$0.20,4,24,https://lbb.in/mumbai/military-cafe-fort/,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,lbb.in,military,,fort,1
7139,cafe in hyd,8100,23,41.0,$0.03,4,29,https://lbb.in/hyderabad/best-cafes-hyderabad/,Hyderabad,,,,Hyderabad,,Restaurant,Food & Dining,Food & Dining,lbb.in,,,best,1
7140,blue mug cafe,8100,8,379.0,$0.14,2,23,https://lbb.in/kolkata/blue-mug-cafe-jodhpur-park/,Jodhpur,,,,Jodhpur,,Restaurant,Food & Dining,Food & Dining,lbb.in,blue mug,,kolkata park,1
7141,hotel fishland,8100,16,60.0,$0.18,2,22,https://lbb.in/bangalore/hotel-fishland-653dc2/,Bengaluru,,,,Bengaluru,,Hotel,Accommodation,Accommodation,lbb.in,fishland,,bangalore 653dc2,1
7142,hauz khas lake delhi,6600,39,17.0,$0.04,2,17,https://lbb.in/delhi/lakes-in-delhi/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,lakes,1
7143,haldiram's the railway coach restaurant pune,8100,4,788.0,$0.22,3,21,https://lbb.in/pune/haldiram-restaurant-on-wheels-pune/,Pune,,,,Pune,,Restaurant,Food & Dining,Food & Dining,lbb.in,haldiram,,on wheels,1
7144,good compact powder,8100,26,34.0,$0.07,100,40,https://lbb.in/delhi/best-compact-powder/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,compact powder,,best,1
7145,goan drink feni,8100,15,73.0,$0.06,1,36,https://lbb.in/goa/best-feni-brands/,,Goa,India,West,,,,,,lbb.in,feni,,best brands,1
7146,game shop,8100,57,17.0,$0.09,5,48,https://lbb.in/chennai/-c896ec/,Chennai,,,,Chennai,,,,,lbb.in,,,c896ec,1
7147,furniture showrooms bangalore,8100,31,17.0,$0.31,93,35,https://lbb.in/bangalore/best-furniture-stores-in-town/,Bengaluru,,,,Bengaluru,,,,,lbb.in,furniture bangalore,,best stores town,1
7148,furniture market in delhi,8100,5,2462.0,$0.09,32,28,https://lbb.in/delhi/furniture-market-in-delhi/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,furniture market,,,1
7149,feranoz banjara hills,8100,22,34.0,$0.16,3,22,https://lbb.in/hyderabad/the-only-way-cheese-in-87a6ac/,Hyderabad,,,,Hyderabad,,,,,lbb.in,,,only way cheese 87a6ac,1
7150,feni in goa,8100,9,533.0,$0,1,28,https://lbb.in/goa/best-feni-brands/,,Goa,India,West,,,,,,lbb.in,feni,,best brands,1
7151,famous bakery,8100,18,41.0,$0.07,1,28,https://lbb.in/delhi/delhi-gurgaons-best-bakeries/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,gurgaons best bakeries,1
7152,driving in cinema,8100,33,17.0,$0.09,2,20,https://lbb.in/delhi/drive-in-cinema-gurgaon-bollywood-special/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,cinema,,drive gurgaon bollywood special,1
7153,dine hill restaurant hyderabad,8100,17,60.0,$0.05,1,23,https://lbb.in/hyderabad/dine-hill-masab-tank/,Hyderabad,,,,Hyderabad,,,,,lbb.in,dine hill,,masab tank,1
7154,best nightclub in delhi ncr,8100,34,17.0,$0.06,3,23,https://lbb.in/delhi/best-nightclubs-delhi/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,best,,nightclubs,1
7155,best discotheque in delhi,8100,46,17.0,$0.06,3,24,https://lbb.in/delhi/best-nightclubs-delhi/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,best,,nightclubs,1
7156,best chocolate india,8100,22,73.0,$0.07,87,41,https://lbb.in/all/best-homegrown-chocolate-brands/,,,,,,,,,,lbb.in,best chocolate,,all homegrown brands,1
7157,best biryani kolkata,8100,43,17.0,$0.08,3,28,https://lbb.in/kolkata/best-biryani/,Kolkata,,,,Kolkata,,,,,lbb.in,best biryani,,,1
7158,best bag brand,8100,64,17.0,$0.07,99,34,https://lbb.in/mumbai/buy-bags-mumbai-shopping/,Mumbai,,,,Mumbai,,,,,lbb.in,,,buy bags shopping,1
7159,benefits of ashwagandha,9900,78,17.0,$0.03,19,21,https://lbb.in/all/advantages-of-ashwagandha/,,,,,,,,,,lbb.in,ashwagandha,,all advantages,1
7160,barbeque nation pune deccan,6600,35,17.0,$0.15,3,16,https://lbb.in/pune/barbeque-nation-pune/,Pune,,,,Pune,,,,,lbb.in,barbeque nation,,,1
7161,balewadi sports complex,6600,26,18.0,$0.48,5,33,https://lbb.in/pune/balewadi-sports-complex-c5e845/,Pune,,,,Pune,,,,,lbb.in,balewadi sports complex,,c5e845,1
7162,bad bar,8100,68,17.0,$0.06,1,34,https://lbb.in/mumbai/drinking-guide-to-colaba/,Mumbai,,,,Mumbai,Colaba,,,,lbb.in,,,drinking guide to,1
7163,atta galatta,5400,13,91.0,$0.21,4,38,https://lbb.in/bangalore/atta-galatta-koramangala/,Bengaluru,,,,Bengaluru,Koramangala,,,,lbb.in,atta galatta,,bangalore,1
7164,asiatic library mumbai,6600,24,19.0,$0.29,1,37,https://lbb.in/mumbai/asiatic-society-library-mumbai/,Mumbai,,,,Mumbai,,,,,lbb.in,asiatic library,,society,1
7165,asiatic library fort,6600,17,47.0,$0.29,1,37,https://lbb.in/mumbai/asiatic-library-fort-755680/,Mumbai,,,,Mumbai,,,,,lbb.in,asiatic library fort,,755680,1
7166,asiana couture,8100,8,207.0,$0.19,23,21,https://lbb.in/delhi/madsam-tinzin-ca7734/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,madsam tinzin ca7734,1
7167,army navy store near me,6600,13,121.0,$0.03,3,31,https://lbb.in/bangalore/army-surplus-stores-in-shivajinagar/,Bengaluru,,,,Bengaluru,,,,,lbb.in,army,,bangalore surplus stores shivajinagar,1
7168,anime store near me,9900,19,45.0,$0.08,3,8,https://lbb.in/bangalore/the-bobble-street-kalyan-nagar/,Bengaluru,,,,Bengaluru,,,,,lbb.in,,,bangalore bobble street kalyan nagar,1
7169,am pm kolkata,8100,32,17.0,$0.45,2,22,https://lbb.in/kolkata/best-bars-in-kolkata/,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,lbb.in,,,best,1
7170,airbnb pondicherry,9900,17,45.0,$0.19,44,18,https://lbb.in/bangalore/pondicherry-seaview-airbnbs/,,Puducherry,India,South,,,,,,lbb.in,pondicherry,,bangalore seaview airbnbs,1
7171,adventure park in hyderabad,8100,50,17.0,$0.06,9,28,https://lbb.in/hyderabad/amusement-parks-hyderabad/,Hyderabad,,,,Hyderabad,,,,,lbb.in,,,amusement parks,1
7172,10 downing street in hyderabad,12100,41,17.0,$0.14,3,23,https://lbb.in/hyderabad/10-downing-street-begumpet/,Hyderabad,,,,Hyderabad,,,,,lbb.in,10 downing street,,begumpet,1
7173,yamuna biodiversity park delhi,8100,36,17.0,$0.09,2,24,https://lbb.in/delhi/bird-watching-yamuna-biodiversity-park/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,yamuna biodiversity park,,bird watching,1
7174,woman dress name,8100,19,34.0,$0.02,23,16,https://lbb.in/delhi/types-of-dresses/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,types dresses,1
7175,women dress name,6600,18,41.0,$0.01,23,36,https://lbb.in/delhi/types-of-dresses/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,types dresses,1
7176,women dress names,8100,21,34.0,$0.02,23,15,https://lbb.in/delhi/types-of-dresses/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,,,types dresses,1
7177,zoos in chennai,8100,20,41.0,$0.02,1,23,https://lbb.in/chennai/list-of-zoos-in-chennai/,Chennai,,,,Chennai,,,,,lbb.in,zoos,,list,1
7178,woodlands hotel chennai,8100,21,34.0,$0.34,34,20,https://lbb.in/chennai/new-woodlands-hotel-mylapore-chennai/,Chennai,,,,Chennai,,Hotel,Accommodation,Accommodation,lbb.in,woodlands,,new mylapore,1
7179,women dresses names,6600,9,207.0,$0.01,23,30,https://lbb.in/delhi/types-of-dresses/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,dresses,,types,1
7180,wine shop tasmac,8100,26,19.0,$0,1,17,https://lbb.in/chennai/tasmac-liquor-shop-express-avenue-mall-royapettah-chennai/,Chennai,,,,Chennai,,,,,lbb.in,shop tasmac,,liquor express avenue mall royapettah,1
7181,white shirt and pant,8100,25,26.0,$0.02,92,19,https://lbb.in/delhi/formal-pant-shirt-combination/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,shirt pant,,formal combination,1
7182,which is best perfume for male,8100,30,17.0,$0.09,95,34,https://lbb.in/all/perfumes-for-men-buy-online/,,,,,,,,,,lbb.in,,,all perfumes men buy online,1
7183,westside pataka house,9900,32,17.0,$0.18,16,16,https://lbb.in/places/Westside-taltala-2da526/,,,,,,,,,,lbb.in,westside,,places taltala 2da526,1
7184,wengers bakery delhi,8100,29,17.0,$0.12,1,33,https://lbb.in/delhi/wenger's-deli-connaught-place/,Delhi,Delhi,India,North,Delhi,Connaught Place,,,,lbb.in,,,wenger deli,1
7185,wanley bangalore,8100,10,273.0,$0.29,4,23,https://lbb.in/bangalore/wanley-indiranagar-old-school-chinese/,Bengaluru,,,,Bengaluru,Indiranagar,,,,lbb.in,wanley bangalore,,old school chinese,1
7186,villa shanti pondicherry,9900,29,17.0,$0.19,53,31,https://lbb.in/bangalore/heritage-villa-shanti-pondicherry/,,Puducherry,India,South,,,,,,lbb.in,villa shanti pondicherry,,bangalore heritage,1
7187,venus traders and stationery,8100,19,34.0,$0,1,19,https://lbb.in/pune/buy-stationery-from-venus-ppc-d1a99b/,Pune,,,,Pune,,,,,lbb.in,venus stationery,,buy ppc d1a99b,1
7188,tourist places in hubli,8100,17,45.0,$0.15,2,18,https://lbb.in/bangalore/places-to-visit-around-hubli/,Bengaluru,,,,Bengaluru,,Attraction,Tourism & Attractions,Attractions,lbb.in,hubli,,bangalore around,1
7189,the backyard,8100,28,19.0,$0.19,2,21,https://lbb.in/delhi/the-backyard-5ec18e/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,backyard,,5ec18e,1
7190,sunscreen cream for sensitive skin,6600,73,17.0,$0.06,97,25,https://lbb.in/delhi/sunscreen-for-sensitive-skin/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,sunscreen sensitive skin,,,1
7191,sports bra for big bust,9900,44,17.0,$0.06,100,19,https://lbb.in/delhi/best-sports-bra-for-heavy-breast/,Delhi,Delhi,India,North,Delhi,,,,,lbb.in,sports bra,,best heavy breast,1
7192,soul garden cafe gurgaon,8100,10,121.0,$0.07,1,22,https://lbb.in/delhi/cafe-soul-garden-f9630a/,Delhi,Delhi,India,North,Delhi,,Restaurant,Food & Dining,Food & Dining,lbb.in,soul garden,,f9630a,1
7193,skin tint moisturizer,8100,43,17.0,$0.09,100,25,https://lbb.in/all/best-skin-tints/,,,,,,,,,,lbb.in,skin,,all best tints,1
7194,sheraton grand bengaluru whitefield,8100,60,17.0,$0.65,34,37,https://lbb.in/bangalore/sheraton-grand-whitefield-hotel-8db6cb/,Bengaluru,,,,Bengaluru,Whitefield,Hotel,Accommodation,Accommodation,lbb.in,sheraton grand,,bangalore 8db6cb,1
