No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank,
58,t3 delhi,673000,65,1413,$0.12,3,23,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
59,thane railway station,550000,38,1413,$0,5,44,https://www.mappls.com/place-thane+railway+station+west-jambli+naka-thane+west-thane-maharashtra-400601-CBDA35@zdata=MTkuMTg2NjA1KzcyLjk3NTQ2NCsxNytDQkRBMzUrK25yed,Thane,Maharashtra,India,West,Thane,Unknown,,,,1,
60,igi terminal 3 airport,673000,38,1413,$0.12,3,32,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
61,anand vihar,673000,64,1413,$0,7,50,https://www.mappls.com/place-anand+vihar+isbt+metro+station-anand+vihar-new+delhi-delhi-110092-bt81et@zdata=MjguNjQ2ODA3Kzc3LjMxNjAzMysxNytidDgxZXQrKw==ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
62,sbi atm near to me,673000,11,7604,$0.03,1,23,https://www.mappls.com/search-near-State%20Bank%20of%20India%20ATM(%20SBI%20ATM%20)@zdata=ODUuMjE2MzgsMjUuNzAxNjU3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
63,lakshmi nagar delhi,550000,41,1413,$0.32,3,43,https://www.mappls.com/284tb1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
64,atm near me sbi,673000,20,3432,$0.02,1,19,https://www.mappls.com/search-near-State%20Bank%20of%20India%20ATM(%20SBI%20ATM%20)@zdata=ODUuMjE2MzgsMjUuNzAxNjU3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
65,terminal 3 igi,673000,40,1413,$0.12,3,24,https://www.mappls.com/place-indira+gandhi+international+airport+departure+terminal+3-indira+gandhi+international+airport-igi+t3+road-near+mehram+nagar-new+delhi-delhi-110037-D4CS6S@zdata=MjguNTU1MDEzKzc3LjA4NDM3KzE3K0Q0Q1M2UysrbnI=ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
66,sbi atm near me,673000,43,1413,$0,1,34,https://www.mappls.com/place-state+bank+of+india+atm-railway+station+area-jaipur-rajasthan-302016-E99DWK@zdata=MjYuOTIxMzErNzUuNzg3MDgrMTcrRTk5RFdLKytucg==ed,Jaipur,Rajasthan,India,North,Jaipur,Unknown,,,,1,
67,lokmanya tilak terminus railway station,450000,22,1815,$0.50,6,36,https://www.mappls.com/place-lokmanya+tilak+terminus-pipeline+road-lokmanya+tilak+terminus+railway+yard-kurla+east-mumbai-maharashtra-400089-3qfxrq@zdata=MTkuMDcxMTQxKzcyLjg5MTAwNisxNyszcWZ4cnErKw==ed,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
