No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category
5976,house of mg ahmedabad,14800,6,838,$0.18,40,22,https://www.zomato.com/ahmedabad/agashiye-the-house-of-mg-lal-darwaja,Ahmedabad,Unknown,Unknown,Unknown,Ahmedabad,Unknown
5977,hotel yuvraj,12100,6,694,$0.09,13,25,https://www.zomato.com/vadodara/hotel-yuvraj-sayajigunj,Vadodara,Unknown,Unknown,Unknown,Vadodara,Hotel
5978,hotel shimla combermere,14800,9,291,$0.20,51,21,https://www.zomato.com/shimla/hotel-combermere-longwood,Shimla,Unknown,Unknown,Unknown,Shimla,Hotel
5979,hotel marigold jaipur,2900,9,378,$0.15,62,32,https://www.zomato.com/jaipur/all-spices-hotel-marigold-sitapur,Jaipur,Unknown,Unknown,Unknown,Jaipur,Hotel
5980,hotel kass,14800,2,4499,$0.17,8,25,https://www.zomato.com/hyderabad/hotel-kass-kompally,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Hotel
5981,hotel chandra park,14800,7,500,$0.14,23,24,https://www.zomato.com/chennai/hotel-chandra-park-egmore,Chennai,Unknown,Unknown,Unknown,Chennai,Hotel
5982,home work job mumbai,14800,95,31,$0.12,1,48,https://www.zomato.com/deliver-food/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5983,holiday resort puri,18100,31,31,$0.09,67,39,https://www.zomato.com/puri/holiday-resort-penthakata/menu,Puri,Unknown,Unknown,Unknown,Puri,Hotel
5984,highway dhaba,12100,7,2397,$0.07,1,25,https://www.zomato.com/kolkata/punjab-highway-dhaba-barasat,Kolkata,Punjab,India,North,Kolkata,Unknown
5985,have more new delhi,14800,3,4499,$0.10,2,23,https://www.zomato.com/ncr/havemore-pandara-road-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
5986,garam masala airoli,9900,3,4499,$0,5,17,https://www.zomato.com/mumbai/garam-masala-airoli-navi-mumbai,Navi Mumbai,Unknown,Unknown,Unknown,Navi Mumbai,Unknown
5987,g t world mall,14800,9,291,$0.03,1,24,https://www.zomato.com/bangalore/restaurants/in/gt-world-mall-magadi-road,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
5988,g block bandra kurla complex,14800,11,500,$0.06,4,19,https://www.zomato.com/mumbai/bandra-kurla-complex-road-g-block-bkc-restaurants,Mumbai,Unknown,Unknown,Unknown,Mumbai,Restaurant
5989,kerala hotel trivandrum,27100,3,4499,$0.34,98,51,https://www.zomato.com/trivandrum/kerala-hotel-kulathoor,Thiruvananthapuram,Kerala,India,South,Thiruvananthapuram,Hotel
5990,bowl of rice of india,18100,20,75,$0,1,24,https://www.zomato.com/hyderabad/rice-bowl-of-india-madhapur,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown
5991,bistro 57,14800,5,2397,$0.47,5,24,https://www.zomato.com/ncr/bistro-57-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
5992,bihari bhawan,14800,8,975,$0.10,1,17,https://www.zomato.com/hi/ncr/bihar-bhawan-canteen-chanakyapuri-new-delhi,New Delhi,Bihar,India,East,New Delhi,Unknown
5993,best restaurants in surat india,14800,5,2397,$0.03,2,10,https://www.zomato.com/surat/dine-out,Surat,Unknown,Unknown,Unknown,Surat,Unknown
5994,best restaurants in indiranagar,18100,6,1440,$7.07,5,12,https://www.zomato.com/bangalore/indiranagar-restaurants,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
5995,backyard cafe,14800,4,4499,$0.12,3,27,https://www.zomato.com/hyderabad/backyard-cafe-sainikpuri-secunderabad,Secunderabad,Unknown,Unknown,Unknown,Secunderabad,Restaurant
5996,antera kitchen and bar indiranagar,12100,3,4499,$0.39,6,21,https://www.zomato.com/bangalore/antera-kitchen-and-bar-indiranagar-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown
5997,anand sweets sarjapur,12100,1,4499,$0.19,8,19,https://www.zomato.com/bangalore/anand-sweets-and-savouries-sarjapur-road-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown
5998,anand niketan club,12100,20,63,$0.18,5,19,https://www.zomato.com/ncr/anand-niketan-delhi-restaurants/club,Delhi,Delhi,India,North,Delhi,Restaurant
5999,amul falooda ice cream,5400,4,975,$0.01,78,23,https://www.zomato.com/pune/amul-ice-cream-1-satara-road/order,Satara,Unknown,Unknown,Unknown,Satara,Unknown
6000,amma hotel,12100,4,4499,$0.11,4,22,https://www.zomato.com/chennai/amma-restaurant-t-nagar,Chennai,Unknown,Unknown,Unknown,Chennai,Restaurant
6001,akshatha nati style,9900,4,4499,$0.10,5,21,https://www.zomato.com/bangalore/akshatha-nati-style-brookefield-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown
6002,acai bowl,9900,4,2397,$1.01,1,31,https://www.zomato.com/ncr/acai-bowl-jasola-new-delhi/order,New Delhi,Delhi,India,North,New Delhi,Unknown
6003,159,14800,54,31,$0,1,20,https://www.zomato.com/bangalore/biryani-159-kalyan-nagar-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Unknown
6004,mehfil restaurant near me,14800,5,2397,$0.21,12,13,https://www.zomato.com/hyderabad/mehfil-restaurant-chandrayanagutta,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Restaurant
6005,masaledaar desi rasoi vadapalani,8100,4,2397,$0.06,1,19,https://www.zomato.com/chennai/restaurants/masaledaar-desi-rasoi,Chennai,Unknown,Unknown,Unknown,Chennai,Restaurant
6006,maps indore,14800,43,31,$0.01,1,25,https://www.zomato.com/deliver-food/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
